,State_Name,Crop_Type,Crop,N,P,K,pH,rainfall,temperature,Area_in_hectares,Production_in_tons,Yield_ton_per_hec
0,andhra pradesh,kharif,cotton,120,40,20,5.46,654.34,29.26666666666667,7300.0,9400.0,1.2876712328767124
1,andhra pradesh,kharif,horsegram,20,60,20,6.18,654.34,29.26666666666667,3300.0,1000.0,0.303030303030303
2,andhra pradesh,kharif,jowar,80,40,40,5.42,654.34,29.26666666666667,10100.0,10200.0,1.00990099009901
3,andhra pradesh,kharif,maize,80,40,20,5.62,654.34,29.26666666666667,2800.0,4900.0,1.75
4,andhra pradesh,kharif,moong,20,40,20,5.68,654.34,29.26666666666667,1300.0,500.0,0.3846153846153846
5,andhra pradesh,kharif,ragi,50,40,20,5.64,654.34,29.26666666666667,6700.0,11800.0,1.7611940298507462
6,andhra pradesh,kharif,rice,80,40,40,5.54,654.34,29.26666666666667,35600.0,75400.0,2.117977528089888
7,andhra pradesh,kharif,sunflower,50,60,30,5.36,654.34,29.26666666666667,35900.0,11100.0,0.309192200557103
8,andhra pradesh,rabi,horsegram,20,60,20,6.0,288.3,25.46,600.0,200.0,0.3333333333333333
9,andhra pradesh,rabi,jowar,80,40,40,5.5,288.3,25.46,18800.0,9400.0,0.5
10,andhra pradesh,rabi,maize,80,40,20,5.54,288.3,25.46,600.0,2400.0,4.0
11,andhra pradesh,rabi,ragi,50,40,20,5.6,288.3,25.46,600.0,1000.0,1.6666666666666667
12,andhra pradesh,rabi,rice,80,40,40,5.54,288.3,25.46,18000.0,37300.0,2.0722222222222224
13,andhra pradesh,rabi,sunflower,50,60,30,5.32,288.3,25.46,30100.0,11100.0,0.3687707641196013
14,andhra pradesh,rabi,wheat,60,30,30,6.4,288.3,25.46,300.0,200.0,0.6666666666666666
15,andhra pradesh,kharif,horsegram,20,60,20,5.98,654.34,29.26666666666667,3100.0,2000.0,0.6451612903225806
16,andhra pradesh,kharif,jowar,80,40,40,5.4,654.34,29.26666666666667,2400.0,1500.0,0.625
17,andhra pradesh,kharif,maize,80,40,20,5.5,654.34,29.26666666666667,100.0,300.0,3.0
18,andhra pradesh,kharif,moong,20,40,20,5.5,654.34,29.26666666666667,200.0,100.0,0.5
19,andhra pradesh,kharif,ragi,50,40,20,5.64,654.34,29.26666666666667,10800.0,9900.0,0.9166666666666666
20,andhra pradesh,kharif,rice,80,40,40,5.5,654.34,29.26666666666667,42300.0,84400.0,1.9952718676122927
21,andhra pradesh,kharif,sesamum,30,15,30,6.4,654.34,29.26666666666667,400.0,100.0,0.25
22,andhra pradesh,kharif,sunflower,50,60,30,5.62,654.34,29.26666666666667,1300.0,600.0,0.4615384615384615
23,andhra pradesh,rabi,horsegram,20,60,20,5.9,288.3,25.46,1200.0,400.0,0.3333333333333333
24,andhra pradesh,rabi,ragi,50,40,20,5.32,288.3,25.46,1600.0,2300.0,1.4375
25,andhra pradesh,rabi,rice,80,40,40,5.4,288.3,25.46,57400.0,137400.0,2.393728222996516
26,andhra pradesh,rabi,sunflower,50,60,30,5.48,288.3,25.46,900.0,400.0,0.4444444444444444
27,andhra pradesh,kharif,cotton,120,40,20,5.64,654.34,29.26666666666667,9800.0,23400.0,2.3877551020408165
28,andhra pradesh,kharif,jowar,80,40,40,5.38,654.34,29.26666666666667,1100.0,600.0,0.5454545454545454
29,andhra pradesh,kharif,maize,80,40,20,5.66,654.34,29.26666666666667,1600.0,2900.0,1.8125
30,andhra pradesh,kharif,ragi,50,40,20,5.58,654.34,29.26666666666667,200.0,100.0,0.5
31,andhra pradesh,kharif,rice,80,40,40,5.34,654.34,29.26666666666667,214100.0,429300.0,2.0051377860812702
32,andhra pradesh,kharif,sesamum,30,15,30,6.34,654.34,29.26666666666667,1800.0,400.0,0.2222222222222222
33,andhra pradesh,kharif,sunflower,50,60,30,5.56,654.34,29.26666666666667,300.0,200.0,0.6666666666666666
34,andhra pradesh,rabi,horsegram,20,60,20,5.94,288.3,25.46,1300.0,800.0,0.6153846153846154
35,andhra pradesh,rabi,jowar,80,40,40,5.38,288.3,25.46,200.0,200.0,1.0
36,andhra pradesh,rabi,maize,80,40,20,5.66,288.3,25.46,3600.0,13700.0,3.8055555555555554
37,andhra pradesh,rabi,moong,20,40,20,5.48,288.3,25.46,59500.0,26500.0,0.4453781512605042
38,andhra pradesh,rabi,ragi,50,40,20,5.58,288.3,25.46,100.0,100.0,1.0
39,andhra pradesh,rabi,rice,80,40,40,5.48,288.3,25.46,154400.0,491500.0,3.1832901554404147
40,andhra pradesh,rabi,sesamum,30,15,30,6.42,288.3,25.46,1900.0,200.0,0.1052631578947368
41,andhra pradesh,kharif,cotton,120,40,20,5.66,654.34,29.26666666666667,162300.0,432500.0,2.664818237831177
42,andhra pradesh,kharif,jowar,80,40,40,5.68,654.34,29.26666666666667,200.0,100.0,0.5
43,andhra pradesh,kharif,maize,80,40,20,5.46,654.34,29.26666666666667,1700.0,3100.0,1.8235294117647056
44,andhra pradesh,kharif,moong,20,40,20,5.32,654.34,29.26666666666667,7400.0,2800.0,0.3783783783783784
45,andhra pradesh,kharif,rice,80,40,40,5.34,654.34,29.26666666666667,295000.0,845300.0,2.865423728813559
46,andhra pradesh,rabi,jowar,80,40,40,5.5,288.3,25.46,2400.0,3500.0,1.4583333333333333
47,andhra pradesh,rabi,maize,80,40,20,5.46,288.3,25.46,5000.0,19000.0,3.8
48,andhra pradesh,rabi,moong,20,40,20,5.42,288.3,25.46,7700.0,3100.0,0.4025974025974026
49,andhra pradesh,rabi,rice,80,40,40,5.56,288.3,25.46,14500.0,51800.0,3.5724137931034483
50,andhra pradesh,rabi,sesamum,30,15,30,6.48,288.3,25.46,4700.0,900.0,0.1914893617021276
51,andhra pradesh,kharif,cotton,120,40,20,5.44,654.34,29.26666666666667,13400.0,17400.0,1.2985074626865671
52,andhra pradesh,kharif,horsegram,20,60,20,6.02,654.34,29.26666666666667,200.0,100.0,0.5
53,andhra pradesh,kharif,jowar,80,40,40,5.62,654.34,29.26666666666667,7300.0,8100.0,1.1095890410958904
54,andhra pradesh,kharif,maize,80,40,20,5.42,654.34,29.26666666666667,200.0,100.0,0.5
55,andhra pradesh,kharif,ragi,50,40,20,5.38,654.34,29.26666666666667,100.0,100.0,1.0
56,andhra pradesh,kharif,rice,80,40,40,5.42,654.34,29.26666666666667,47700.0,77500.0,1.6247379454926625
57,andhra pradesh,kharif,sesamum,30,15,30,6.68,654.34,29.26666666666667,3200.0,700.0,0.21875
58,andhra pradesh,kharif,sunflower,50,60,30,5.42,654.34,29.26666666666667,51500.0,27400.0,0.5320388349514563
59,andhra pradesh,rabi,horsegram,20,60,20,6.02,288.3,25.46,300.0,100.0,0.3333333333333333
60,andhra pradesh,rabi,jowar,80,40,40,5.62,288.3,25.46,3000.0,2600.0,0.8666666666666667
61,andhra pradesh,rabi,ragi,50,40,20,5.36,288.3,25.46,800.0,1300.0,1.625
62,andhra pradesh,rabi,rice,80,40,40,5.52,288.3,25.46,13000.0,27700.0,2.1307692307692307
63,andhra pradesh,rabi,sunflower,50,60,30,5.4,288.3,25.46,3300.0,700.0,0.2121212121212121
64,andhra pradesh,kharif,cotton,120,40,20,5.34,654.34,29.26666666666667,26400.0,63300.0,2.397727272727273
65,andhra pradesh,kharif,jowar,80,40,40,5.38,654.34,29.26666666666667,500.0,300.0,0.6
66,andhra pradesh,kharif,maize,80,40,20,5.38,654.34,29.26666666666667,5900.0,10500.0,1.7796610169491525
67,andhra pradesh,kharif,moong,20,40,20,5.4,654.34,29.26666666666667,26700.0,10200.0,0.3820224719101123
68,andhra pradesh,kharif,rice,80,40,40,5.6,654.34,29.26666666666667,257900.0,699400.0,2.711903838697169
69,andhra pradesh,kharif,sesamum,30,15,30,6.6,654.34,29.26666666666667,300.0,100.0,0.3333333333333333
70,andhra pradesh,kharif,sunflower,50,60,30,5.36,654.34,29.26666666666667,2200.0,1100.0,0.5
71,andhra pradesh,rabi,horsegram,20,60,20,5.82,288.3,25.46,800.0,400.0,0.5
72,andhra pradesh,rabi,jowar,80,40,40,5.64,288.3,25.46,2200.0,2000.0,0.9090909090909092
73,andhra pradesh,rabi,maize,80,40,20,5.46,288.3,25.46,2200.0,8200.0,3.727272727272727
74,andhra pradesh,rabi,moong,20,40,20,5.56,288.3,25.46,2500.0,1600.0,0.64
75,andhra pradesh,rabi,rice,80,40,40,5.48,288.3,25.46,116300.0,393500.0,3.383490971625108
76,andhra pradesh,rabi,sesamum,30,15,30,6.44,288.3,25.46,2400.0,300.0,0.125
77,andhra pradesh,kharif,cotton,120,40,20,5.52,654.34,29.26666666666667,90400.0,116900.0,1.293141592920354
