State_Name,Crop_Type,Crop,rainfall,Area_in_hectares,Production_in_tons,Yield_ton_per_hec
andhra pradesh,kharif,Arhar/Tur,654.34,21400.0,2600.0,0.12149532710280374
andhra pradesh,kharif,Bajra,654.34,1400.0,500.0,0.35714285714285715
andhra pradesh,kharif,Castor seed,654.34,1000.0,100.0,0.1
andhra pradesh,kharif,Cotton(lint),654.34,7300.0,9400.0,1.2876712328767124
andhra pradesh,kharif,Dry chillies,654.34,3700.0,7100.0,1.9189189189189189
andhra pradesh,kharif,Groundnut,654.34,650800.0,228400.0,0.35095267363245236
andhra pradesh,kharif,Horse-gram,654.34,3300.0,1000.0,0.30303030303030304
andhra pradesh,kharif,Jowar,654.34,10100.0,10200.0,1.00990099009901
andhra pradesh,kharif,Korra,654.34,2200.0,700.0,0.3181818181818182
andhra pradesh,kharif,Maize,654.34,2800.0,4900.0,1.75
andhra pradesh,kharif,Moong(Green Gram),654.34,1300.0,500.0,0.38461538461538464
andhra pradesh,kharif,Other Kharif pulses,654.34,800.0,100.0,0.125
andhra pradesh,kharif,Ragi,654.34,6700.0,11800.0,1.7611940298507462
andhra pradesh,kharif,Rice,654.34,35600.0,75400.0,2.1179775280898876
andhra pradesh,kharif,Sugarcane,654.34,700.0,72900.0,104.14285714285714
andhra pradesh,kharif,Sunflower,654.34,35900.0,11100.0,0.30919220055710306
andhra pradesh,kharif,Tobacco,654.34,200.0,200.0,1.0
andhra pradesh,rabi,Dry chillies,288.3,100.0,100.0,1.0
andhra pradesh,rabi,Gram,288.3,28000.0,14800.0,0.5285714285714286
andhra pradesh,rabi,Groundnut,288.3,20200.0,21700.0,1.0742574257425743
andhra pradesh,rabi,Horse-gram,288.3,600.0,200.0,0.3333333333333333
andhra pradesh,rabi,Jowar,288.3,18800.0,9400.0,0.5
andhra pradesh,rabi,Korra,288.3,100.0,100.0,1.0
andhra pradesh,rabi,Maize,288.3,600.0,2400.0,4.0
andhra pradesh,rabi,Ragi,288.3,600.0,1000.0,1.6666666666666667
andhra pradesh,rabi,Rice,288.3,18000.0,37300.0,2.0722222222222224
andhra pradesh,rabi,Sunflower,288.3,30100.0,11100.0,0.3687707641196013
andhra pradesh,rabi,Wheat,288.3,300.0,200.0,0.6666666666666666
andhra pradesh,kharif,Arhar/Tur,654.34,6100.0,900.0,0.14754098360655737
andhra pradesh,kharif,Bajra,654.34,1700.0,1900.0,1.1176470588235294
andhra pradesh,kharif,Dry chillies,654.34,600.0,800.0,1.3333333333333333
andhra pradesh,kharif,Groundnut,654.34,234900.0,144200.0,0.6138782460621541
andhra pradesh,kharif,Horse-gram,654.34,3100.0,2000.0,0.6451612903225806
andhra pradesh,kharif,Jowar,654.34,2400.0,1500.0,0.625
andhra pradesh,kharif,Maize,654.34,100.0,300.0,3.0
andhra pradesh,kharif,Moong(Green Gram),654.34,200.0,100.0,0.5
andhra pradesh,kharif,Other Kharif pulses,654.34,2200.0,300.0,0.13636363636363635
andhra pradesh,kharif,Ragi,654.34,10800.0,9900.0,0.9166666666666666
andhra pradesh,kharif,Rice,654.34,42300.0,84400.0,1.9952718676122931
andhra pradesh,kharif,Samai,654.34,1300.0,200.0,0.15384615384615385
andhra pradesh,kharif,Sesamum,654.34,400.0,100.0,0.25
andhra pradesh,kharif,Sugarcane,654.34,29600.0,2775100.0,93.75337837837837
andhra pradesh,kharif,Sunflower,654.34,1300.0,600.0,0.46153846153846156
andhra pradesh,rabi,Dry chillies,288.3,3000.0,2100.0,0.7
andhra pradesh,rabi,Groundnut,288.3,28300.0,69800.0,2.4664310954063606
andhra pradesh,rabi,Horse-gram,288.3,1200.0,400.0,0.3333333333333333
andhra pradesh,rabi,Ragi,288.3,1600.0,2300.0,1.4375
andhra pradesh,rabi,Rice,288.3,57400.0,137400.0,2.3937282229965158
